ID_Region,Region,ParentRegion,RegionType,,,
378,Khâi-Ma Local Municipality,176,Local Municipality,,,
379,King Sabata Dalindyebo Local Municipality,150,Local Municipality,,,
380,Knysna Local Municipality,104,Local Municipality,,,
381,Kopanong Local Municipality,215,Local Municipality,,,
382,Kou-Kamma Local Municipality,99,Local Municipality,,,
383,Kouga Local Municipality,95,Local Municipality,,,
384,KwaDukuza Local Municipality,113,Local Municipality,,,
385,KwaSani Local Municipality,84,Local Municipality,,,
386,Laingsburg Local Municipality,121,Local Municipality,,,
387,Langeberg Local Municipality,13,Local Municipality,,,
388,Lekwa Local Municipality,206,Local Municipality,,,
389,Lekwa-Teemane Local Municipality,42,Local Municipality,,,
390,Lepelle-Nkumpi Local Municipality,43,Local Municipality,,,
391,Lephalale Local Municipality,122,Local Municipality,,,
392,Lesedi Local Municipality,82,Local Municipality,,,
393,Letsemeng Local Municipality,105,Local Municipality,,,
394,Lukhanji Local Municipality,189,Local Municipality,,,
395,Madibeng Local Municipality,28,Local Municipality,,,
396,Mafube Local Municipality,68,Local Municipality,,,
397,Magareng Local Municipality,231,Local Municipality,,,
398,Mahikeng Local Municipality,128,Local Municipality,,,
399,Makana Local Municipality,76,Local Municipality,,,
400,Makhado Local Municipality,125,Local Municipality,,,
401,Makhuduthamaga Local Municipality,93,Local Municipality,,,
402,Maletswai Local Municipality,11,Local Municipality,,,
403,Maluti-a-Phofung Local Municipality,171,Local Municipality,,,
404,Mamusa Local Municipality,198,Local Municipality,,,
405,Mandeni Local Municipality,132,Local Municipality,,,
406,Mangaung Metropolitan Municipality,24,Local Municipality,,,
407,Mantsopa Local Municipality,119,Local Municipality,,,
408,Maphumulo Local Municipality,133,Local Municipality,,,
409,Maquassi Hills Local Municipality,239,Local Municipality,,,
410,Maruleng Local Municipality,87,Local Municipality,,,
411,Masilonyana Local Municipality,213,Local Municipality,,,
412,Matatiele Local Municipality,135,Local Municipality,,,
413,Matjhabeng Local Municipality,234,Local Municipality,,,
414,Matzikama Local Municipality,228,Local Municipality,,,
415,Mbhashe Local Municipality,59,Local Municipality,,,
416,Mbizana Local Municipality,23,Local Municipality,,,
417,Mbombela Local Municipality,156,Local Municipality,,,
418,Mbonambi Local Municipality,114,Local Municipality,,,
419,Merafong City Local Municipality,38,Local Municipality,,,
420,Metsimaholo Local Municipality,197,Local Municipality,,,
421,Mhlontlo Local Municipality,190,Local Municipality,,,
422,Midvaal Local Municipality,137,Local Municipality,,,
423,Mier Local Municipality,139,Local Municipality,,,
424,Mkhambathini Local Municipality,36,Local Municipality,,,
425,Mkhondo Local Municipality,172,Local Municipality,,,
426,Mnquma Local Municipality,71,Local Municipality,,,
427,Modimolle Local Municipality,140,Local Municipality,,,
428,Mogalakwena Local Municipality,143,Local Municipality,,,
429,Mogale City Local Municipality,111,Local Municipality,,,
430,Mohokare Local Municipality,241,Local Municipality,,,
431,Molemole Local Municipality,54,Local Municipality,,,
432,Mookgophong Local Municipality,146,Local Municipality,,,
433,Moqhaka Local Municipality,110,Local Municipality,,,
434,Moretele Local Municipality,129,Local Municipality,,,
435,Moses Kotane Local Municipality,142,Local Municipality,,,
436,Mossel Bay Local Municipality,147,Local Municipality,,,
437,Mpofana Local Municipality,145,Local Municipality,,,
438,Msinga Local Municipality,216,Local Municipality,,,
439,Msukaligwa Local Municipality,62,Local Municipality,,,
440,Msunduzi Local Municipality,173,Local Municipality,,,
441,Mthonjaneni Local Municipality,136,Local Municipality,,,
442,Mtubatuba Local Municipality,151,Local Municipality,,,
443,Musina Local Municipality,153,Local Municipality,,,
444,Mutale Local Municipality,154,Local Municipality,,,
445,Nala Local Municipality,26,Local Municipality,,,
446,Naledi Local Municipality,229,Local Municipality,,,
447,Naledi Local Municipality,55,Local Municipality,,,
448,Nama Khoi Local Municipality,205,Local Municipality,,,
449,Ndlambe Local Municipality,179,Local Municipality,,,
450,Ndwedwe Local Municipality,155,Local Municipality,,,
451,Nelson Mandela Bay Metropolitan Municipality,180,Local Municipality,,,
452,Newcastle Local Municipality,157,Local Municipality,,,
453,Ngqushwa Local Municipality,168,Local Municipality,,,
454,Ngwathe Local Municipality,166,Local Municipality,,,
455,Nkandla Local Municipality,159,Local Municipality,,,
456,Nketoana Local Municipality,192,Local Municipality,,,
457,Nkomazi Local Municipality,130,Local Municipality,,,
458,Nkonkobe Local Municipality,67,Local Municipality,,,
459,Nongoma Local Municipality,160,Local Municipality,,,
460,Nquthu Local Municipality,161,Local Municipality,,,
461,Ntabankulu Local Municipality,163,Local Municipality,,,
462,Ntambanana Local Municipality,22,Local Municipality,,,
463,Nxuba Local Municipality,10,Local Municipality,,,
464,Nyandeni Local Municipality,123,Local Municipality,,,
465,Okhahlamba Local Municipality,20,Local Municipality,,,
466,Oudtshoorn Local Municipality,164,Local Municipality,,,
467,Overstrand Local Municipality,83,Local Municipality,,,
468,Phokwane Local Municipality,81,Local Municipality,,,
469,Phumelela Local Municipality,226,Local Municipality,,,
470,Pixley Ka Seme Local Municipality,225,Local Municipality,,,
471,Polokwane Local Municipality,177,Local Municipality,,,
472,Port St Johns Local Municipality,183,Local Municipality,,,
473,Prince Albert Local Municipality,188,Local Municipality,,,
474,Ramotshere Moiloa Local Municipality,242,Local Municipality,,,
475,Randfontein Local Municipality,191,Local Municipality,,,
476,Ratlou Local Municipality,202,Local Municipality,,,
477,Renosterberg Local Municipality,169,Local Municipality,,,
478,Richmond Local Municipality,194,Local Municipality,,,
479,Richtersveld Local Municipality,181,Local Municipality,,,
480,Rustenburg Local Municipality,196,Local Municipality,,,
481,Sakhisizwe Local Municipality,33,Local Municipality,,,
482,Saldanha Bay Local Municipality,227,Local Municipality,,,
483,Senqu Local Municipality,118,Local Municipality,,,
484,Setsoto Local Municipality,65,Local Municipality,,,
485,Siyancuma Local Municipality,56,Local Municipality,,,
